"Response_ID","Date_submitted","Last_page","Start_language","Date_started","Date_last_action","IP_address","Referrer_URL","Which_part_of_the_NHS_do_you_mainly_work_in?","Which_part_of_the_NHS_do_you_mainly_work_in?_[Other]","What_is_your_main_job/role_within_the_NHS?","What_is_your_main_job/role_within_the_NHS?_[Other]","Can_you_access_WiFi_in_your_place_of_NHS_work?","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_can_connect_to_WiFi_with_my_own_device_(BYOD)]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_can_connect_to_WiFi_with_a_work-provided_device]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_requires_login_on_a_web_page_after_device_connects_to_WiFi_network]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[I_have_access_to_EduRoam,_the_academic_WiFi_network]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_is_provided_by_a_commercial_service_(WiFispark,_BT_OpenZone,_The_Cloud_etc)]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_access_is_free]","Which_of_the_following_apply_to_your_experience_of_WiFi_access_at_your_usual_place_of_NHS_work?_[WiFi_access_works_in_most_areas_of_my_workplace_that_I_need_it_to.]","Please_provide_some_further_information:_[WiFi_access_is_only_for_work_devices_and_I_haven't_been_provided_with_one]","Please_provide_some_further_information:_[WiFi_isn't_required_-_internet_and_clinical_record_access_via_Desktop_PCs_is_sufficient]","Please_provide_some_further_information:_[There_are_no_WiFi_networks_at_all]","Please_provide_some_further_information:_[There_is_a_good_mobile_data_signal_(ie_3G,_4G)_in_my_place_of_work]","Please_provide_some_further_information:_[Other]","Do_you_think_access,_or_lack_of_access,_to_WiFi_during_your_NHS_work_affects_the_care_you_can_provide_for_your_patients?","Do_you_think_access,_or_lack_of_access,_to_WiFi_during_your_NHS_work_affects_the_care_you_can_provide_for_your_patients?_-_comment","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Medical_knowledge_resources]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Personal_email]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Trust_Intranet_access]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Work_email/NHSMail]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Mobile_electronic_medical_record_access]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Order_tests_for_patients]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Getting_results_of_patients'_tests]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Patients'_demographic_details_&_location_tracking]","OPTIONAL:_What_can_you_already_do,_and_what_would_you_like_to_be_able_to_do_with_WiFi_access_at_your_workplace?_[Social_Media/Social_Networking]","Which_of_the_following_best_describes_Patient/Visitor_access_to_WiFi_at_your_place_of_NHS_work:","Which_of_the_following_best_describes_Patient/Visitor_access_to_WiFi_at_your_place_of_NHS_work:_[Other]","OPTIONAL:_What_is_the_postcode_of_the_NHS_organisation_at_which_you_do_most_of_your_work?","OPTIONAL:_do_you_have_any_comments_on_WiFi_access_for_staff_or_patients_in_the_NHS?","Total_time","Group_time:_WiFi_in_your_Workplace","Question_time:_NHSSECTOR","Question_time:_JOBROLE","Question_time:_YESNOWIFI","Question_time:_YESWIFI","Question_time:_NOWIFI","Question_time:_CAREQUALITY","Question_time:_DOWITHWIFI","Question_time:_Q0009","Question_time:_POSTCODE","Question_time:_COMMENTS"
"1018","2014-09-20 02:28:16","1","en","2014-09-20 02:24:17","2014-09-20 02:28:16","194.176.105.150","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Nurse","","Yes","No","No","Yes","No","No","Yes","No","N/A","N/A","N/A","N/A","","I am not sure what effect access to WiFi would have","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","WiFi for patients and visitors is free without registration","","SL24HL","","238.42","","","","","","","","","","",""
"293","2014-09-18 15:40:28","1","en","2014-09-18 15:30:44","2014-09-18 15:40:28","194.176.105.135","http://www.google.com/url?q=http%3A%2F%2Fbit.ly%2F1sneR2w&sa=D&sntz=1&usg=AFQjCNGs2NJSTFm8Dzx-755C0K0_KDuiew","Mental Health","","Other","Librarian and electronic services officer","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","The mobile data signal is very poor","Access to WiFi would have no effect","I do not provide care.  There should be that option in the survey, but I provide information to care givers.  Lack of wifi impacts on access to online books that they might otherwise access on their mobile devices, especially placement students and junior doctors.","I want to be able to do this","","","","","","","","I want to be able to do this","Other","I believe wifi is available to patients off our N3 spine, quarantined from the staff system. I am not sure if it is charged","TS4 3AF","The wifi should be provided away from N3 networks which are already overused.  A private supplier should be chosen with free access to staff, visitors, patients and placement students.  If a supplier such as BT (with btfon) or the Cloud were to be chosen users would already have logins which would facilitate use of the resources and may allow a reduction in provision costs. ","583.92","","","","","","","","","","",""
"294","2014-09-18 15:34:12","1","en","2014-09-18 15:31:21","2014-09-18 15:34:12","Invalid","","Secondary Care / Hospital","","Other Clinical staff","","Yes","Yes","No","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I don't need to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't know","","M13 9WL","","171.14","","","","","","","","","","",""
"866","2014-09-19 12:39:22","1","en","2014-09-19 12:31:45","2014-09-19 12:39:22","194.176.105.150","http://moss/Pages/Default.aspx","Secondary Care / Hospital","","Doctor","","Yes","Yes","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","Does, not would","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I can do this already","I can do this already","I can do this already","I can do this already","WiFi for patients and visitors is free with registration","","SL2 4HL","There are two WiFi networks at this hospital:  free open-access ""visitor"" network which anyone can log on to.  And closed hospital network giving access to patient details, password protected only accessible from a Trust supplied device.  Therefore questions above are bit difficult to answer","456.72","","","","","","","","","","",""
"865","2014-09-19 12:33:22","1","en","2014-09-19 12:28:34","2014-09-19 12:33:22","194.176.105.153","","Mental Health","","Manager/Executive","","Yes","No","Yes","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","As a library and knowledge professional I read ""customers"" or ""service users"" in place of patients but yes as at present we have to run laptops from a separate MiFi device via EE at certain locations in order to provide training on HDAS information searching.","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","No WiFi for patients or visitors","","LS2 9LN","Access is becoming an expectation particularly for younger patients and new staff or students on placement who take it as a given within the Higher education environment.  As usual the NHS is lagging behind but needs to catch up now.","287.19","","","","","","","","","","",""
"864","2014-09-19 12:33:28","1","en","2014-09-19 12:26:45","2014-09-19 12:33:28","10.64.129.64","","Secondary Care / Hospital","","Manager/Executive","","Yes","No","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","No WiFi for patients or visitors","","","Not sure what your questionnaire is trying to get at. 
Are you looking for the ability of staff to do their tesco shop whilst at work or to have agile access to the apps they need where they need them
it is a confusing and poorly structured survey ","403.02","","","","","","","","","","",""
"1016","2014-09-19 23:36:46","1","en","2014-09-19 23:32:38","2014-09-19 23:36:46","10.0.228.209","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other","Midwife","Yes","Yes","No","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","","I can do this already","I can do this already","","","","","No WiFi for patients or visitors","","M13 ","Should be for everyone. Mc Donald's and Starbucks have free wifi for all 
Next step nhs

Paper free campaign could certain be progressed if wifi implemented fully. Using patient related programs or apps could improve efficiency and patient care ","248.72","","","","","","","","","","",""
"1052","2014-09-22 08:47:19","1","en","2014-09-22 08:44:39","2014-09-22 08:47:19","194.176.105.135","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Manager/Executive","","Yes","Yes","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","No WiFi for patients or visitors","","ne29 8NH","","159.4","","","","","","","","","","",""
"1051","2014-09-22 08:47:10","1","en","2014-09-22 08:44:07","2014-09-22 08:47:07","194.176.105.150","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","IT Professional","","Yes","Yes","No","Yes","No","Yes","Yes","No","N/A","N/A","N/A","N/A","","I am not sure what effect access to WiFi would have","","I can do this already","I don't need to do this","I want to be able to do this","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","WiFi for patients and visitors is free with registration","","sl2 4hl","","179.61","","","","","","","","","","",""
"1236","2014-09-24 22:16:52","1","en","2014-09-24 22:13:12","2014-09-24 22:16:52","82.1.244.36","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","There are several networks which pop up but I don't know how to get access to them","Access to WiFi  would improve the care I provide","I would use it to look stuff up, eg the BNF online, to access the college eportfolio, and to do mandatory elearning using my ipad. This would then free up work PCs for stuff like looking up patient results, ordering tests, theatre management systems etc","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't know","","LS1 3EX","","219.46","","","","","","","","","","",""
"314","2014-09-18 15:45:58","1","en","2014-09-18 15:42:38","2014-09-18 15:45:58","192.168.238.52","http://www.google.com/url?q=http%3A%2F%2Fbit.ly%2F1sneR2w&sa=D&sntz=1&usg=AFQjCNGs2NJSTFm8Dzx-755C0K0_KDuiew","Secondary Care / Hospital","","Administrative Staff","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","I am not sure what effect access to WiFi would have","n/a: I do not provide care","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","Other","requires visitor to agree to t&c but is free","E9 6SR","Free wi-fi is only available in certain areas of the hospital","200.32","","","","","","","","","","",""
"1235","","1","en","2014-09-24 22:04:54","2014-09-24 22:06:41","86.137.49.14","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","","","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I can do this already","I don't need to do this","I don't need to do this","No WiFi for patients or visitors"," ","","","107.05","","","","","","","","","","",""
"320","2014-09-18 16:19:38","1","en","2014-09-18 15:44:48","2014-09-18 16:19:38","176.35.234.193","","Primary Care / GP","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","I am not sure what effect access to WiFi would have","","I want to be able to do this","I want to be able to do this","I can do this already","I want to be able to do this","I want to be able to do this","I can do this already","I can do this already","I can do this already","I don't need to do this","Other","NONE","EH40 3DP","","2090.91","","","","","","","","","","",""
"321","2014-09-18 15:49:44","1","en","2014-09-18 15:46:54","2014-09-18 15:49:44","194.176.105.141","","Secondary Care / Hospital","","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","I am not sure what effect access to WiFi would have","","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","WiFi for patients and visitors is open but chargeable/non-free","","LN2 5QY","","170.89","","","","","","","","","","",""
"323","2014-09-18 16:18:44","1","en","2014-09-18 15:49:51","2014-09-18 16:18:43","82.1.8.4","","Secondary Care / Hospital","","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","WiFi access is only available in certain areas","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","WiFi for patients and visitors is free with registration","","PR2 9HT","I tend to feel the lack of WiFi access most keenly when presenting in my own department, travelling to present in others or hosting speakers from other areas. Transferring data from PC to PC and inbox to inbox etc. would be much easier if WiFi access were a little more widespread.  ","1733.78","","","","","","","","","","",""
"324","2014-09-18 15:55:55","1","en","2014-09-18 15:51:08","2014-09-18 15:55:55","194.176.105.141","","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","Good mobile data signal available but the internal WiFi network is good but secure and restricted.  I have a blackberry that uses it but my work laptop is not configured to use it.","Access to WiFi would have no effect","The provision of network PCs is excellent and functionallity is uniform throughout the trust","I can do this already","I don't need to do this","I can do this already","I can do this already","I don't need to do this","I can do this already","I can do this already","I can do this already","I want to be able to do this","WiFi for patients and visitors is open but chargeable/non-free","","B15 2WB","","286.96","","","","","","","","","","",""
"326","2014-09-18 15:56:25","1","en","2014-09-18 15:54:11","2014-09-18 15:56:25","194.74.190.3","","Secondary Care / Hospital","","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","I am not sure what effect access to WiFi would have","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","Other","Not available","TN24","Apparently wifi is coming in 6 months...","134.52","","","","","","","","","","",""
"1234","2014-09-24 22:02:26","1","en","2014-09-24 21:58:29","2014-09-24 22:02:26","81.135.35.148","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","No","Yes","No","No","Yes","No","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","WiFi for patients and visitors is open but chargeable/non-free","","Ne1","As a consultant I have been issued a laptop with wifi access. But it is huge and too big to carry around. My phone in my pocket is far superior but not allowed to connect to wifi. And via mobile it is very slow and not connected to the clinical networks","236.73","","","","","","","","","","",""
"330","2014-09-18 16:02:33","1","en","2014-09-18 16:00:07","2014-09-18 16:02:33","94.197.121.70","","Secondary Care / Hospital","","Doctor","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I want to be able to do this","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","WiFi for patients and visitors is free without registration","","Ss00ry","","146.51","","","","","","","","","","",""
"332","2014-09-18 16:08:31","1","en","2014-09-18 16:01:49","2014-09-18 16:08:31","176.35.234.193","","Primary Care / GP","","IT Professional","","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","Especially for meetings moving about the building.

On clinical session need knowledge access","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","WiFi for patients and visitors is free with registration","","CF and NP","Both Free Internet and Work Intranet need to be made available in all areas of the NHS-Wales and other NHS orhanisations in all their estates. Nothing worse than these made available in some and not others. Also mobile workers need Extremely good WiFi connection especially in country rural areas. This is over and above NHS and is a UK Goverment/Regional responsibility.

Speed for all connections is especially important.","402.83","","","","","","","","","","",""
"334","2014-09-18 16:06:15","1","en","2014-09-18 16:03:44","2014-09-18 16:06:15","194.176.105.132","","Community Services","","Manager/Executive","","Yes","Yes","Yes","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","I don't know","","","","150.37","","","","","","","","","","",""
"335","2014-09-18 16:09:27","1","en","2014-09-18 16:05:55","2014-09-18 16:09:27","86.188.255.34","","Mental Health","","Administrative Staff","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is free with registration","","de22 3lz","Individuals need to register for guest wifi access if not using a Trust device. This would be better if freely available.","211.15","","","","","","","","","","",""
"1231","2014-09-24 21:28:06","1","en","2014-09-24 21:25:52","2014-09-24 21:28:05","82.4.49.48","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Primary Care / GP","","Manager/Executive","","Yes","No","Yes","No","No","No","Yes","No","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","No WiFi for patients or visitors","","","","134.23","","","","","","","","","","",""
"1229","2014-09-24 21:13:52","1","en","2014-09-24 21:11:35","2014-09-24 21:13:52","86.143.10.200","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","","","137.92","","","","","","","","","","",""
"343","2014-09-18 16:16:56","1","en","2014-09-18 16:12:44","2014-09-18 16:16:56","194.176.105.153","http://www.google.com/url?q=http%3A%2F%2Fbit.ly%2F1sneR2w&sa=D&sntz=1&usg=AFQjCNGs2NJSTFm8Dzx-755C0K0_KDuiew","Secondary Care / Hospital","","Administrative Staff","","Yes","Yes","Yes","Yes","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I don't need to do this","I can do this already","I can do this already","I don't need to do this","I don't need to do this","I don't need to do this","I don't need to do this","I can do this already","WiFi for patients and visitors is free without registration","","WF1 4DG","Access to WIFI can be difficult at times but we understand improvements are underway.","251.08","","","","","","","","","","",""
"1228","2014-09-24 20:44:36","1","en","2014-09-24 20:43:01","2014-09-24 20:44:36","194.176.105.150","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","","Access to WiFi  would improve the care I provide","","I want to be able to do this","I want to be able to do this","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","I can do this already","I want to be able to do this","I don't need to do this","WiFi for patients and visitors is free with registration","","cv2 2dx","","95.74","","","","","","","","","","",""
"345","2014-09-18 16:39:09","1","en","2014-09-18 16:17:06","2014-09-18 16:39:08","151.225.43.59","","Mental Health","","Manager/Executive","","Yes","Yes","Yes","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I don't need to do this","I can do this already","WiFi for patients and visitors is free without registration","","ME16 9PH","WiFi is needed with sufficient bandwidth for it to be usable for patients to Skype (etc.) with family and friends, use social media, and maintain the same regime as when at home.  This is particularly important for patients needing to stay for extended periods or who have been detained (mental health) and recovering from being acutely unwell.  For staff, who we might ask to work more flexibly these days, the boundaries between work and home become more blurred and we should seriously consider options for work/home integration as part of the work/home balance.  Again, the ability to maintain daily living activities becomes important.  Neither of these require WiFi necessarily but WiFI makes life so much easier and more practical than wired connections - particularly on wards and when using BYOD devices.

WiFi is needed to support flexible use of buildings and modern ways of working.  Examples include reconfiguring rooms, the use of hot-desk areas, support for electronic working in meeting rooms.  I am often frustrated by attending a meeting at another organisation or using another organisation's facilities and finding myself hamstrung by lack of connectivity.","1322.94","","","","","","","","","","",""
"351","2014-09-18 16:53:43","1","en","2014-09-18 16:33:31","2014-09-18 16:53:43","Invalid","","Secondary Care / Hospital","","Other","Clinical scientist in Pathology","Yes","Yes","No","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","Still struggle to access the laboratory results by tablet or lap top if roaming on to wards or MDTs and this would definitely help for those results apparently missing from the ward order system.","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I can do this already","I want to be able to do this","I want to be able to do this","I don't need to do this","I don't know","","M13 9WL","The fear of abuse of social networking and similar resources (e.g. YouTube) stops them being available on the network as well as by wifi but there are some really good teaching and training resources.","1211.67","","","","","","","","","","",""
"352","2014-09-18 16:42:34","1","en","2014-09-18 16:38:03","2014-09-18 16:42:34","31.50.68.81","http://www.google.com/url?q=http%3A%2F%2Fbit.ly%2F1sneR2w&sa=D&sntz=1&usg=AFQjCNGs2NJSTFm8Dzx-755C0K0_KDuiew","Secondary Care / Hospital","","Other","Librarian","Yes","Yes","No","Yes","Yes","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I don't need to do this","I don't need to do this","I don't need to do this","I want to be able to do this","WiFi for patients and visitors is free without registration","","","","270.29","","","","","","","","","","",""
"356","2014-09-18 16:48:18","1","en","2014-09-18 16:46:25","2014-09-18 16:48:18","82.1.8.4","","Secondary Care / Hospital","","Doctor","","Yes","No","No","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","No WiFi for patients or visitors","","PR2","","109.51","","","","","","","","","","",""
"358","2014-09-18 17:03:44","1","en","2014-09-18 16:59:29","2014-09-18 17:03:44","92.6.104.234","http://t.co/Pp4ZSypMnD","Community Services","","Doctor","","Yes","No","Yes","Yes","No","No","No","Yes","N/A","N/A","N/A","N/A","","Access to WiFi would have no effect","still using paper notes in clinic","I can do this already","I don't need to do this","I can do this already","I can do this already","I want to be able to do this","I want to be able to do this","","I can do this already","I don't need to do this","No WiFi for patients or visitors","","HR2 7RL","only work related wifi access, no wireless access, no personal access. Work is paper led, not paperless .
most patients seem to have their own phones and regularly use them in clinic areas.","255.73","","","","","","","","","","",""
"365","2014-09-18 17:17:23","1","en","2014-09-18 17:15:05","2014-09-18 17:17:23","194.176.105.135","","Secondary Care / Hospital","","Other Clinical staff","","Yes","Yes","Yes","No","No","Yes","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi would have no effect","","I can do this already","","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","I can do this already","","WiFi for patients and visitors is open but chargeable/non-free","","WR5 1DD","","138.55","","","","","","","","","","",""
"377","2014-09-18 17:53:16","1","en","2014-09-18 17:51:00","2014-09-18 17:53:16","94.175.237.124","","Mental Health","","IT Professional","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","Access to WiFi  would improve the care I provide","Online resources would be so much easier to demonstrate to staff if we had wi-fi in the library / building.","","","","","","","","","","No WiFi for patients or visitors","","BS4 5BJ","","136.28","","","","","","","","","","",""
"1225","2014-09-24 20:17:26","1","en","2014-09-24 20:12:33","2014-09-24 20:17:26","95.145.67.95","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","No","No","There is wifi for the university, but staff not permitted to use it. There is no internet access in clinical areas due to the layout of the building","Access to WiFi  would improve the care I provide","I have apps on my phone for clinical matters. I would be able to access my portfolio or look things up easily. There are a few computers, but it takes time to log on, it is shared amongst many, and if i am called away suddenly, I don't get the opportunity to log out. ","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","No WiFi for patients or visitors","","dd2","In a previous trust where I worked (in England) phones are banned in clinical areas. ","293.9","","","","","","","","","","",""
"1224","2014-09-24 20:09:23","1","en","2014-09-24 20:07:43","2014-09-24 20:09:23","86.153.187.192","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","Yes","Yes","No","No","No","No","Yes","Yes","N/A","N/A","N/A","N/A","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I want to be able to do this","I can do this already","I want to be able to do this","I want to be able to do this","I want to be able to do this","I want to be able to do this","I don't need to do this","WiFi for patients and visitors is free without registration","","","","99.25","","","","","","","","","","",""
"1223","2014-09-24 20:14:09","1","en","2014-09-24 19:54:07","2014-09-24 20:14:09","86.185.204.98","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Other Clinical staff","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","Yes","Yes","No","","Access to WiFi  would improve the care I provide","","I can do this already","I can do this already","I can do this already","I can do this already","I want to be able to do this","I don't need to do this","","I can do this already","I don't need to do this","I don't know","","CM1 7ET","Think our IT is very tricky. It is unreliable and the hardware is so slow and old fashioned. My desktop is over 10 years old. I'm not allowed a laptop or mobile as my manager thinks that because I am often in the treatment room I don't need to be able to work anywhere else. The signal on the site for 3G is appalling and my personal phone will not load emails when I am there. It's ok because I work part time there I  also have another job with a different NHS organisation where signal is better and we all have mobiles to use in the hospital. This is much easier and enables you to be found and talk to people when you aren't in the clinic. The IT people are lovely but they aren't on site and sometimes you just need to have someone look at something in person. I work for a social enterprise but embedded in a nhs hospital and this leads to all sorts of issues with firewalls. My other job is with a foundation trust and I think things are streets ahead here. The systems are also peculiar. I wish systmone was everywhere rather than having to negotiate lots and lots of different systems to get the same info in different ways from different organisations. Numbers of passwords that you have to remember is daft too. My husband is a director of a mental health trust and it is annoying to see that they have ipads and iphones and wifi and encrypted password stores but clinical staff like me are working with a nokia that is 4th hand and 10 years old and I am not allowed wifi or even a laptop. Why is there no choice about what you can use that will suit you individually. Quite honestly I would like to buy and use my own machine and have an allowance to have the phone I want and wifi rather than have IT solutions imposed on me by people who have never asked me what I want and need to do my job and have no insight into the issues that I have. Sorry bit of a rant!","1201.33","","","","","","","","","","",""
"1221","2014-09-24 19:41:33","1","en","2014-09-24 19:39:32","2014-09-24 19:41:33","86.162.36.9","http://bawmedical.co.uk/lime/index.php/696915/lang-en","Secondary Care / Hospital","","Doctor","","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","No","No","Yes","No","","I am not sure what effect access to WiFi would have","","","","","","","","","","","No WiFi for patients or visitors","","","","121.33","","","","","","","","","","",""
